Designator,Mid X,Mid Y,Rotation,Layer
C1,137.15,-81.4,45.0,top
C10,121.85,-80.6,90.0,top
C11,108.7,-80.15,0.0,top
C13,129.75,-85.55,0.0,top
C14,128.1,-86.575,180.0,top
C15,140.6,-54.63,90.0,top
C16,99.35,-69.03,90.0,top
C17,99.35,-65.0,90.0,top
C18,126.25,-85.95,180.0,top
C19,124.35,-85.45,180.0,top
C20,127.65,-83.05,180.0,top
C21,119.65,-70.1,0.0,top
C22,125.3,-83.05,180.0,top
C23,137.23,-85.0,0.0,top
C26,135.325,-85.35,0.0,top
C27,131.625,-85.525,180.0,top
C28,133.47,-85.9,0.0,top
C30,123.35,-82.85,0.0,top
C31,119.65,-77.15,180.0,top
C32,127.05,-68.45,0.0,top
C33,123.65,-71.35,90.0,top
C34,134.63,-82.95,180.0,top
C35,111.55,-72.15,0.0,top
C36,136.65,-66.35,90.0,top
C37,122.95,-59.9,0.0,top
C38,116.15,-61.23,90.0,top
C6,138.25,-72.2,270.0,top
C7,122.55,-77.38,90.0,top
C8,123.65,-77.38,90.0,top
C9,121.45,-82.05,180.0,top
D16,126.5,-60.25,90.0,top
D3,113.5,-76.549999,270.0,top
D4,142.375,-79.05,0.0,top
D5,142.3625,-77.45,0.0,top
D7,109.5,-65.1,270.0,top
F1,124.0,-62.125002,90.0,top
FB1,123.15,-80.65,90.0,top
R10,134.9,-87.0,270.0,top
R11,136.75,-86.435,270.0,top
R12,144.7725,-77.45,180.0,top
R13,132.05,-86.935,90.0,top
R14,133.025,-87.325,90.0,top
R15,111.5,-78.5,90.0,top
R16,109.5,-67.85,90.0,top
R17,123.35,-83.85,180.0,top
R2,140.45,-51.95,180.0,top
R25,122.890001,-74.35,180.0,top
R3,144.79,-79.05,180.0,top
R4,128.15,-87.55,180.0,top
R41,144.548192,-73.439198,90.0,top
R46,142.548192,-73.439198,90.0,top
R47,143.548192,-73.439198,270.0,top
R5,126.25,-86.95,180.0,top
R6,129.65,-87.05,270.0,top
R7,124.35,-86.4,180.0,top
R8,140.85,-50.15,270.0,top
R9,125.31,-84.0,180.0,top
TP_3V3,104.55,-60.35,0.0,top
TP_5V1,114.9,-70.75,0.0,top
TP_CAN_H1,111.3,-58.8,0.0,top
TP_CAN_L1,113.25,-60.95,0.0,top
U1,103.760001,-75.65,180.0,top
U11,143.598192,-71.539198,0.0,top
U16,119.3375,-59.25,180.0,top
U3,131.05,-75.65,270.0,top
U5,104.25,-65.85,180.0,top
Y1,119.590001,-73.65,90.0,top
