Designator,Mid X,Mid Y,Rotation,Layer
TP1,138.2,-649.3,0.0,top
TP10,135.0,-126.8,0.0,top
TP2,135.0,-360.2,0.0,top
TP3,135.0,-593.9,0.0,top
TP4,135.0,-301.8,0.0,top
TP5,135.0,-535.1,0.0,top
TP6,135.0,-243.4,0.0,top
TP7,135.0,-476.9,0.0,top
TP8,134.9,-185.3,0.0,top
TP9,135.0,-418.5,0.0,top
U10,134.45,-356.825,180.0,bottom
U12,134.444336,-473.425,180.0,bottom
U13,134.444336,-181.758333,180.0,bottom
U14,134.45,-415.125,180.0,bottom
U15,134.45,-123.425,180.0,bottom
U4,134.45,-648.425,180.0,bottom
U6,134.444336,-590.091667,180.0,bottom
U7,134.444336,-298.425,180.0,bottom
U8,134.444336,-531.758333,180.0,bottom
U9,134.444336,-240.091667,180.0,bottom
